"","date","Total_deaths"
"1",2018-01-12,7
"2",2018-01-13,5
"3",2018-01-14,19
"4",2018-03-02,18
"5",2018-03-22,11
"6",2018-04-21,1
"7",2018-04-22,2
"8",2018-04-23,6
"9",2018-05-01,1
"10",2018-05-02,0
"11",2018-05-03,1
"12",2018-05-04,2
"13",2018-05-05,2
"14",2018-05-06,0
"15",2018-05-07,0
"16",2018-05-08,5
"17",2018-06-27,4
"18",2018-06-28,1
"19",2018-06-29,12
"20",2018-06-30,16
"21",2018-07-11,8
"22",2018-07-12,16
"23",2018-08-03,16
"24",2018-08-04,19
"25",2018-08-05,0
"26",2018-08-06,0
"27",2018-08-07,1
"28",2018-08-08,0
"29",2018-08-09,0
"30",2018-08-10,0
"31",2018-08-11,0
"32",2018-08-12,1
"33",2018-08-13,1
"34",2018-08-14,0
"35",2018-08-15,1
"36",2018-08-16,1
"37",2018-08-17,1
"38",2018-08-18,2
"39",2018-08-19,2
"40",2018-08-20,13
"41",2018-09-24,2
"42",2018-09-25,2
"43",2018-09-26,1
"44",2018-09-27,2
"45",2018-09-28,1
"46",2018-09-29,4
"47",2018-09-30,15
"48",2018-10-11,6
"49",2018-10-12,0
"50",2018-10-13,0
"51",2018-10-14,0
"52",2018-10-15,0
"53",2018-10-16,1
"54",2018-10-17,0
"55",2018-10-18,0
"56",2018-10-19,3
"57",2018-10-20,5
"58",2018-10-21,13
"59",2018-10-25,5
"60",2018-10-26,3
"61",2018-10-27,10
"62",2018-12-08,5
"63",2018-12-09,2
"64",2019-01-01,14
"65",2019-01-02,12
"66",2019-01-03,3
"67",2019-01-04,5
"68",2019-01-05,12
"69",2019-01-13,10
"70",2019-01-14,5
"71",2019-01-15,18
"72",2019-02-28,12
"73",2019-03-26,18
"74",2019-04-30,16
"75",2019-07-23,12
"76",2019-07-24,1
"77",2019-07-25,0
"78",2019-07-26,1
"79",2019-07-27,1
"80",2019-07-28,0
"81",2019-07-29,0
"82",2019-07-30,1
"83",2019-07-31,1
"84",2019-08-01,17
"85",2019-09-05,10
"86",2019-09-12,16
"87",2019-09-13,5
"88",2019-09-14,13
"89",2019-09-15,7
"90",2019-09-16,12
"91",2020-01-28,16
"92",2020-01-29,3
"93",2020-01-30,1
"94",2020-01-31,0
"95",2020-02-01,0
"96",2020-02-02,0
"97",2020-02-03,0
"98",2020-02-04,0
"99",2020-02-05,0
"100",2020-02-06,2
"101",2020-02-07,0
"102",2020-02-08,0
"103",2020-02-09,8
"104",2020-03-09,15
"105",2020-03-15,16
"106",2020-03-17,17
"107",2020-03-20,6
"108",2020-03-21,3
"109",2020-03-22,1
"110",2020-03-23,0
"111",2020-03-24,0
"112",2020-03-25,16
"113",2020-03-30,18
"114",2020-04-01,11
"115",2020-04-02,14
"116",2020-04-03,18
"117",2020-04-04,18
"118",2020-04-05,17
"119",2020-04-07,19
"120",2020-04-08,19
"121",2020-04-11,16
"122",2020-04-12,17
"123",2020-04-13,16
"124",2020-04-15,17
"125",2020-04-18,16
"126",2020-04-19,15
"127",2020-04-21,16
"128",2020-04-23,15
"129",2020-04-25,15
"130",2020-04-27,19
