age;nyanga;watsomba
0;82;113
1;78;96
2;120;116
3;151;187
4;159;200
5;156;177
6;140;190
7;125;182
8;133;221
9;159;179
10;164;230
11;114;209
12;153;261
13;124;210
14;121;157
15-19;595;950
20-24;378;512
25-29;416;434
30-34;327;335
35-39;309;309
40-44;171;221
45-49;141;209
50-54;129;197
55-59;101;210
60-64;95;188
65-69;72;155
70-74;52;112
75-79;27;86
80-84;22;48
85-89;13;26
90+;9;13
