Transcriber,Report_no,Report_date,Date,Province,District,Cases,Total_Deaths,Facility_Deaths,Community_Deaths,Notes,Cumulative Cases,Cumulative Deaths
RS,Tw-2020-06-01,2020-06-01,2020-06-01,Southern,Livingstone,5,,,,,1069,7
RS,Tw-2020-06-01,2020-06-01,2020-06-01,Lusaka,Lusaka,7,,,,,1076,7
RS,Tw-2020-06-01,2020-06-01,2020-06-01,Eastern,Mwami,1,,,,,1077,7
RS,Tw-2020-06-01,2020-06-01,2020-06-01,Muchinga,Nakonde,8,,,,,1085,7
RS,Tw-2020-06-01,2020-06-01,2020-06-01,Copperbelt,Ndola,4,,,,,1089,7
RS,Tw-2020-06-08,2020-06-02-to-2020-06-08,2020-06-02,Estimated,,21.5,0.75,NA,NA,"86 cases between 2nd to 5th June, the 3 deaths were not from Lusaka",1110.5,7.75
RS,Tw-2020-06-08,2020-06-02-to-2020-06-08,2020-06-03,Estimated,,21.5,0.75,NA,NA,"86 cases between 2nd to 5th June, the 3 deaths were not from Lusaka",1132,8.5
RS,Tw-2020-06-08,2020-06-02-to-2020-06-08,2020-06-04,Estimated,,21.5,0.75,NA,NA,"86 cases between 2nd to 5th June, the 3 deaths were not from Lusaka",1153.5,9.25
RS,Tw-2020-06-08,2020-06-02-to-2020-06-08,2020-06-05,Estimated,,21.5,0.75,NA,NA,"86 cases between 2nd to 5th June, the 3 deaths were not from Lusaka",1175,10
OJ,66,2020-06-06,2020-06-06,Lusaka,,4,,,,,1179,10
OJ,66,2020-06-06,2020-06-06,Copperbelt,,1,,,,"Where did this point come from? The totals add up, but there isn't a reference to this on SitRep66",1180,10
OJ,66,2020-06-06,2020-06-06,Muchinga,,1,,,,,1181,10
OJ,67,2020-06-07,2020-06-07,Copperbelt,Kitwe,9,,,,,1190,10
OJ,67,2020-06-07,2020-06-07,Lusaka,,2,,,,,1192,10
OJ,67,2020-06-08,2020-06-08,Lusaka,Chirundu,3,,,,,1195,10
OJ,67,2020-06-08,2020-06-08,Copperbelt,Kalulushi,1,,,,,1196,10
OJ,67,2020-06-08,2020-06-08,Copperbelt,Mpongwe,2,,,,,1198,10
OJ,67,2020-06-08,2020-06-08,Lusaka,,2,,,,,1200,10
OJ,67,2020-06-09,2020-06-09,Copperbelt,Chililabombwe,11,,,,,1211,10
OJ,67,2020-06-09,2020-06-09,Copperbelt,Kitwe,3,,,,,1214,10
OJ,67,2020-06-09,2020-06-09,Muchinga,Nakonde,20,,,,,1234,10
OJ,67,2020-06-09,2020-06-09,Lusaka,,1,,,,,1235,10
OJ,67,2020-06-10,2020-06-10,Lusaka,Kafue,2,,,,,1237,10
OJ,67,2020-06-10,2020-06-10,Muchinga,Nakonde,11,,,,,1248,10
OJ,67,2020-06-10,2020-06-10,Lusaka,,4,,,,,1252,10
OJ,67,2020-06-11,2020-06-11,Copperbelt,Chililabombwe,13,,,,,1265,10
OJ,67,2020-06-11,2020-06-11,Copperbelt,Chingola,2,,,,,1267,10
OJ,67,2020-06-11,2020-06-11,Lusaka,Chirundu,3,,,,,1270,10
OJ,67,2020-06-11,2020-06-11,Muchinga,Nakonde,11,,,,,1281,10
OJ,67,2020-06-11,2020-06-11,Lusaka,,12,,,,,1293,10
OJ,67,2020-06-12,2020-06-12,Copperbelt,Chililabombwe,2,,,,,1295,10
OJ,67,2020-06-12,2020-06-12,Copperbelt,Kitwe,8,,,,,1303,10
OJ,67,2020-06-12,2020-06-12,Southern,Livingstone,6,,,,,1309,10
OJ,67,2020-06-12,2020-06-12,Muchinga,Nakonde,7,,,,,1316,10
OJ,67,2020-06-12,2020-06-12,Copperbelt,Ndola,3,,,,,1319,10
OJ,67,2020-06-12,2020-06-12,Northern,Senga Hill,1,,,,,1320,10
OJ,67,2020-06-12,2020-06-12,Lusaka,,1,,,,,1321,10
OJ,67,2020-06-13,2020-06-13,Copperbelt,Kalulushi,1,,,,,1322,10
OJ,67,2020-06-13,2020-06-13,Western,Kaoma,2,,,,,1324,10
OJ,67,2020-06-13,2020-06-13,Copperbelt,Kitwe,5,,,,,1329,10
OJ,67,2020-06-13,2020-06-13,Western,Mongu,5,1,,1,This death (I think) was reported the next day from the ministry of health twitter account. I have removed it from the twitter data (Tw-2020-06-14) so that the cumulative totals add up.,1334,11
OJ,67,2020-06-13,2020-06-13,Muchinga,Nakonde,1,,,,,1335,11
OJ,67,2020-06-13,2020-06-13,Copperbelt,Ndola,2,,,,,1337,11
OJ,67,2020-06-13,2020-06-13,Western,Senanga,1,,,,,1338,11
OJ,67,2020-06-13,2020-06-13,Western,Sesheke,1,,,,,1339,11
OJ,67,2020-06-13,2020-06-13,Lusaka,,18,,,,,1357,11
RS,Tw-2020-06-14,2020-06-14,2020-06-14,Lusaka,Lusaka,1,,,,,1358,11
RS,69,2020-06-22,2020-06-15,Copperbelt,Chililabombwe,12,,,,,1370,11
RS,69,2020-06-22,2020-06-15,Copperbelt,Chingola,1,,,,,1371,11
RS,69,2020-06-22,2020-06-15,Lusaka,Chirundu,1,,,,,1372,11
RS,69,2020-06-22,2020-06-15,Lusaka,Kafue,1,,,,,1373,11
RS,69,2020-06-22,2020-06-15,Copperbelt,Kitwe,2,,,,,1375,11
RS,69,2020-06-22,2020-06-15,Lusaka,Lusaka,4,,,,,1379,11
RS,69,2020-06-22,2020-06-15,Copperbelt,Ndola,3,,,,,1382,11
RS,69,2020-06-22,2020-06-16,Lusaka,Lusaka,11,,,,,1393,11
RS,69,2020-06-22,2020-06-16,Luapula,Mansa,5,,,,,1398,11
RS,69,2020-06-22,2020-06-16,Western,Mongu,1,,,,,1399,11
RS,69,2020-06-22,2020-06-16,Copperbelt,Mpongwe,3,,,,,1402,11
RS,69,2020-06-22,2020-06-16,Copperbelt,Mufulira,1,,,,,1403,11
RS,69,2020-06-22,2020-06-16,Copperbelt,Ndola,2,,,,,1405,11
RS,69,2020-06-22,2020-06-17,Lusaka,Chirundu,5,,,,,1410,11
RS,69,2020-06-22,2020-06-17,Lusaka,Lusaka,2,,,,,1412,11
RS,69,2020-06-22,2020-06-18,Lusaka,Chirundu,1,,,,,1413,11
RS,69,2020-06-22,2020-06-18,Lusaka,Lusaka,3,,,,,1416,11
RS,69,2020-06-22,2020-06-19,Lusaka,Chirundu,3,,,,,1419,11
RS,69,2020-06-22,2020-06-19,North-Western,Kalumbila,7,,,,,1426,11
RS,69,2020-06-22,2020-06-19,Copperbelt,Kitwe,1,,,,,1427,11
RS,69,2020-06-22,2020-06-19,Copperbelt,Ndola,3,,,,,1430,11
RS,69,2020-06-22,2020-06-20,Lusaka,Chirundu,2,,,,,1432,11
RS,69,2020-06-22,2020-06-20,Lusaka,Lusaka,6,,,,,1438,11
RS,69,2020-06-22,2020-06-21,Lusaka,Chirundu,1,,,,,1439,11
RS,69,2020-06-22,2020-06-21,Copperbelt,Kalulushi,1,,,,,1440,11
RS,69,2020-06-22,2020-06-21,Copperbelt,Kitwe,1,,,,,1441,11
RS,69,2020-06-22,2020-06-21,Lusaka,Lusaka,5,3,,3,2 deaths from UTH and 1 from Chipata First Level Hospital,1446,14
RS,69,2020-06-22,2020-06-21,Western,Mongu,2,,,,,1448,14
RS,69,2020-06-22,2020-06-21,Copperbelt,Mpongwe,2,,,,,1450,14
RS,69,2020-06-22,2020-06-21,Copperbelt,Ndola,2,,,,,1452,14
RS,Tw-2020-06-23,2020-06-23,2020-06-23,Lusaka,Chirundu,6,,,,,1458,14
RS,Tw-2020-06-23,2020-06-23,2020-06-23,Lusaka,Lusaka,19,3,,3,3 from UTH,1477,17
RS,Tw-2020-06-23,2020-06-23,2020-06-23,Copperbelt,Ndola,,1,NA,NA,,1477,18
RS,Tw-2020-06-24,2020-06-24,2020-06-24,Lusaka,Chirundu,7,,,,,1484,18
RS,Tw-2020-06-24,2020-06-24,2020-06-24,Lusaka,Kafue,1,,,,,1485,18
RS,Tw-2020-06-24,2020-06-24,2020-06-24,Lusaka,Lusaka,4,,,,,1489,18
RS,Tw-2020-06-25,2020-06-25,2020-06-25,Copperbelt,Chililabombwe,1,,,,,1490,18
RS,Tw-2020-06-25,2020-06-25,2020-06-25,Lusaka,Chirundu,6,,,,,1496,18
RS,Tw-2020-06-25,2020-06-25,2020-06-25,Lusaka,Lusaka,1,,,,,1497,18
RS,Tw-2020-06-26,2020-06-26,2020-06-26,Lusaka,Chirundu,5,,,,,1502,18
RS,Tw-2020-06-26,2020-06-26,2020-06-26,Lusaka,Chongwe,1,,,,,1503,18
RS,Tw-2020-06-26,2020-06-26,2020-06-26,Lusaka,Lusaka,17,,,,,1520,18
RS,Tw-2020-06-26,2020-06-26,2020-06-26,Lusaka,Lusaka,,1,NA,NA,1 from UTH,1520,19
RS,Tw-2020-06-26,2020-06-26,2020-06-26,Luapula,Mansa,2,,,,,1522,19
RS,Tw-2020-06-26,2020-06-26,2020-06-26,Western,Mongu,6,,,,,1528,19
RS,Tw-2020-06-26,2020-06-26,2020-06-26,Western,Mongu,,2,NA,NA,,1528,21
RS,Tw-2020-06-26,2020-06-26,2020-06-26,Central,Mumbwa,2,,,,,1530,21
RS,Tw-2020-06-26,2020-06-26,2020-06-26,Western,Mwandi,1,,,,,1531,21
RS,Tw-2020-06-27,2020-06-27,2020-06-27,Lusaka,Chirundu,4,,,,,1535,21
RS,Tw-2020-06-27,2020-06-27,2020-06-27,Lusaka,Lusaka,10,1,,1,1 from UTH,1545,22
RS,Tw-2020-06-28,2020-06-28,2020-06-28,Lusaka,Chirundu,2,,,,,1547,22
RS,Tw-2020-06-28,2020-06-28,2020-06-28,Lusaka,Lusaka,10,,,,,1557,22
RS,Tw-2020-06-29,2020-06-29,2020-06-29,Lusaka,Kafue,1,,,,,1558,22
RS,Tw-2020-06-29,2020-06-29,2020-06-29,Copperbelt,Kitwe,1,,,,,1559,22
RS,Tw-2020-06-29,2020-06-29,2020-06-29,Lusaka,Lusaka,2,,,,,1561,22
RS,Tw-2020-06-29,2020-06-29,2020-06-29,Copperbelt,Ndola,2,,,,,1563,22
RS,Tw-2020-06-29,2020-06-29,2020-06-29,North-Western,Solwezi,5,,,,,1568,22
RS,Tw-2020-06-30,2020-06-30,2020-06-30,Lusaka,Chirundu,7,,,,,1575,22
RS,Tw-2020-06-30,2020-06-30,2020-06-30,Lusaka,Lusaka,19,2,,2,2 from UTH,1594,24
RS,Tw-2020-07-01,2020-07-01,2020-07-01,Lusaka,Chirundu,3,,,,,1597,24
RS,Tw-2020-07-01,2020-07-01,2020-07-01,Lusaka,Lusaka,28,6,,6,6 from UTH,1625,30
RS,Tw-2020-07-01,2020-07-01,2020-07-01,Muchinga,Nakonde,7,,,,,1632,30
RS,Tw-2020-07-02,2020-07-02,2020-07-02,Muchinga,Nakonde,8,,,,,1640,30
RS,Tw-2020-07-03,2020-07-03,2020-07-03,Copperbelt,Chililabombwe,6,,,,,1646,30
RS,Tw-2020-07-03,2020-07-03,2020-07-03,Lusaka,Chirundu,18,,,,,1664,30
RS,Tw-2020-07-03,2020-07-03,2020-07-03,Lusaka,Chongwe,3,,,,,1667,30
RS,Tw-2020-07-03,2020-07-03,2020-07-03,North-Western,Kalumbila,2,,,,,1669,30
RS,Tw-2020-07-03,2020-07-03,2020-07-03,Copperbelt,Kitwe,5,,,,,1674,30
RS,Tw-2020-07-03,2020-07-03,2020-07-03,Southern,Livingstone,6,,,,,1680,30
RS,Tw-2020-07-03,2020-07-03,2020-07-03,Lusaka,Lusaka,42,5,,5,5 from UTH,1722,35
RS,Tw-2020-07-03,2020-07-03,2020-07-03,Copperbelt,Ndola,4,,,,,1726,35
RS,Tw-2020-07-03,2020-07-03,2020-07-03,North-Western,Solwezi,1,,,,,1727,35
RS,Tw-2020-07-04,2020-07-04,2020-07-04,Copperbelt,Chililabombwe,2,,,,,1729,35
RS,Tw-2020-07-04,2020-07-04,2020-07-04,Lusaka,Chirundu,7,,,,,1736,35
RS,Tw-2020-07-04,2020-07-04,2020-07-04,Copperbelt,Kitwe,1,,,,,1737,35
RS,Tw-2020-07-04,2020-07-04,2020-07-04,Copperbelt,Luanshya,1,,,,,1738,35
RS,Tw-2020-07-04,2020-07-04,2020-07-04,Lusaka,Lusaka,27,1,NA,NA,From Levy Mwanawasa COVID-19 Isolation Centre,1765,36
RS,Tw-2020-07-04,2020-07-04,2020-07-04,Copperbelt,Mufulira,2,,,,,1767,36
RS,Tw-2020-07-04,2020-07-04,2020-07-04,Muchinga,Nakonde,7,,,,,1774,36
RS,Tw-2020-07-04,2020-07-04,2020-07-04,Copperbelt,Ndola,8,,,,,1782,36
RS,Tw-2020-07-05,2020-07-05,2020-07-05,Lusaka,Chirundu,9,,,,,1791,36
RS,Tw-2020-07-05,2020-07-05,2020-07-05,Lusaka,Lusaka,26,1,NA,,From Levy Mwanawasa COVID-19 Isolation Centre,1817,37
RS,Tw-2020-07-05,2020-07-05,2020-07-05,Western,Mongu,1,,,,,1818,37
RS,Tw-2020-07-05,2020-07-05,2020-07-05,Central,Mumbwa,1,,,,,1819,37
RS,Tw-2020-07-05,2020-07-05,2020-07-05,Muchinga,Nakonde,3,,,,,1822,37
RS,Tw-2020-07-06,2020-07-06,2020-07-06,Lusaka,Chirundu,5,,,,,1827,37
RS,Tw-2020-07-06,2020-07-06,2020-07-06,Lusaka,Lusaka,,2,NA,,"1 from UTH, 1 from Levy",1827,39
RS,Tw-2020-07-07,2020-07-07,2020-07-07,Copperbelt,Chililabombwe,20,,,,,1847,39
RS,Tw-2020-07-07,2020-07-07,2020-07-07,Lusaka,Chirundu,10,,,,,1857,39
RS,Tw-2020-07-07,2020-07-07,2020-07-07,Copperbelt,Kitwe,9,1,NA,NA,,1866,40
RS,Tw-2020-07-07,2020-07-07,2020-07-07,Copperbelt,Lufwanyama,5,,,,,1871,40
RS,Tw-2020-07-07,2020-07-07,2020-07-07,Lusaka,Lusaka,7,,,,,1878,40
RS,Tw-2020-07-07,2020-07-07,2020-07-07,Copperbelt,Mufulira,6,,,,,1884,40
RS,Tw-2020-07-07,2020-07-07,2020-07-07,North-Western,Mufumbwe,2,,,,,1886,40
RS,Tw-2020-07-07,2020-07-07,2020-07-07,Copperbelt,Ndola,9,2,NA,NA,,1895,42
RS,Tw-2020-07-08,2020-07-08,2020-07-08,Copperbelt,Kitwe,16,,,,,1911,42
RS,Tw-2020-07-08,2020-07-08,2020-07-08,Lusaka,Lusaka,19,1,NA,NA,NA,1930,43
RS,Tw-2020-07-08,2020-07-08,2020-07-08,Copperbelt,Mpongwe,2,,,,,1932,43
RS,Tw-2020-07-08,2020-07-08,2020-07-08,Copperbelt,Mufulira,2,,,,,1934,43
RS,Tw-2020-07-08,2020-07-08,2020-07-08,Copperbelt,Ndola,3,,,,,1937,43
RS,Tw-2020-07-09,2020-07-09,2020-07-09,Copperbelt,Kitwe,6,,,,,1943,43
RS,Tw-2020-07-09,2020-07-09,2020-07-09,Lusaka,Lusaka,36,,,,,1979,43
RS,Tw-2020-07-09,2020-07-09,2020-07-09,Western,Mongu,1,,,,,1980,43
RS,Tw-2020-07-09,2020-07-09,2020-07-09,Copperbelt,Mufulira,6,,,,,1986,43
RS,Tw-2020-07-09,2020-07-09,2020-07-09,Copperbelt,Ndola,20,,,,,2006,43
RS,Tw-2020-07-10,2020-07-10,2020-07-10,Copperbelt,Chililabombwe,3,,,,,2009,43
RS,Tw-2020-07-10,2020-07-10,2020-07-10,Copperbelt,Chingola,9,,,,,2018,43
RS,Tw-2020-07-10,2020-07-10,2020-07-10,Lusaka,Lusaka,16,,,,,2034,43
RS,Tw-2020-07-10,2020-07-10,2020-07-10,North-Western,Solwezi,1,,,,,2035,43
RS,Tw-2020-07-11,2020-07-11,2020-07-11,Copperbelt,Chililabombwe,12,,,,,2047,43
RS,Tw-2020-07-11,2020-07-11,2020-07-11,Lusaka,Chirundu,1,,,,,2048,43
RS,Tw-2020-07-11,2020-07-11,2020-07-11,Copperbelt,Kitwe,4,,,,,2052,43
RS,Tw-2020-07-11,2020-07-11,2020-07-11,Lusaka,Lusaka,72,15,1,14,,2124,58
RS,Tw-2020-07-11,2020-07-11,2020-07-11,Muchinga,Nakonde,2,,,,,2126,58
RS,Tw-2020-07-11,2020-07-11,2020-07-11,Luapula,Nchelenge,3,,,,,2129,58
RS,Tw-2020-07-11,2020-07-11,2020-07-11,Copperbelt,Ndola,1,,,,,2130,58
RS,Tw-2020-07-11,2020-07-11,2020-07-11,North-Western,Solwezi,4,,,,,2134,58
RS,Tw-2020-07-12,2020-07-12,2020-07-12,Lusaka,Chilanga,1,,,,,2135,58
RS,Tw-2020-07-12,2020-07-12,2020-07-12,Northern,Kasama,1,,,,,2136,58
RS,Tw-2020-07-12,2020-07-12,2020-07-12,Lusaka,Lusaka,68,25,1,24,,2204,83
RS,Tw-2020-07-12,2020-07-12,2020-07-12,Central,Mumbwa,1,,,,,2205,83
RS,Tw-2020-07-13,2020-07-13,2020-07-13,Copperbelt,Chililabombwe,3,,,,,2208,83
RS,Tw-2020-07-13,2020-07-13,2020-07-13,Copperbelt,Chingola,1,,,,,2209,83
RS,Tw-2020-07-13,2020-07-13,2020-07-13,Copperbelt,Kitwe,7,,,,,2216,83
RS,Tw-2020-07-13,2020-07-13,2020-07-13,Lusaka,Lusaka,25,,,,,2241,83
RS,Tw-2020-07-13,2020-07-13,2020-07-13,Luapula,Nchelenge,1,,,,,2242,83
RS,Tw-2020-07-13,2020-07-13,2020-07-13,Copperbelt,Ndola,7,,,,,2249,83
RS,Tw-2020-07-13,2020-07-13,2020-07-13,North-Western,Solwezi,34,,,,,2283,83
RS,Tw-2020-07-14,2020-07-14,2020-07-14,Eastern,Chasefu,1,,,,,2284,83
RS,Tw-2020-07-14,2020-07-14,2020-07-14,Lusaka,Chirundu,10,,,,,2294,83
RS,Tw-2020-07-14,2020-07-14,2020-07-14,Lusaka,Lusaka,67,1,,1,?,2361,84
RS,Tw-2020-07-14,2020-07-14,2020-07-14,Eastern,Lusangazi,1,,,,,2362,84
RS,Tw-2020-07-14,2020-07-14,2020-07-14,Southern,Zimba,1,,,,,2363,84
RS,Tw-2020-07-15,2020-07-15,2020-07-15,Copperbelt,Chililabombwe,36,,,,,2399,84
RS,Tw-2020-07-15,2020-07-15,2020-07-15,Copperbelt,Chingola,37,,,,,2436,84
RS,Tw-2020-07-15,2020-07-15,2020-07-15,Eastern,Chipata,3,,,,,2439,84
RS,Tw-2020-07-15,2020-07-15,2020-07-15,Lusaka,Chirundu,9,,,,,2448,84
RS,Tw-2020-07-15,2020-07-15,2020-07-15,Copperbelt,Kitwe,1,,,,,2449,84
RS,Tw-2020-07-15,2020-07-15,2020-07-15,Eastern,Lundazi,2,,,,,2451,84
RS,Tw-2020-07-15,2020-07-15,2020-07-15,Lusaka,Lusaka,46,18,1,17,"16 UTH, 1 Chawama FLH, 1 health facility",2497,102
RS,Tw-2020-07-15,2020-07-15,2020-07-15,Copperbelt,Masaiti,1,,,,,2498,102
RS,Tw-2020-07-15,2020-07-15,2020-07-15,Copperbelt,Ndola,3,,,,,2501,102
RS,Tw-2020-07-16,2020-07-16,2020-07-16,Copperbelt,Kitwe,5,,,,,2506,102
RS,Tw-2020-07-16,2020-07-16,2020-07-16,Lusaka,Lusaka,102,6,2,4,"4 BID – UTH, 1 levy, 1 maina soko",2608,108
RS,Tw-2020-07-16,2020-07-16,2020-07-16,Copperbelt,Mufulira,2,,,,,2610,108
RS,Tw-2020-07-16,2020-07-16,2020-07-16,Copperbelt,Ndola,10,,,,,2620,108
RS,Tw-2020-07-17,2020-07-17,2020-07-17,Eastern,Chipata,5,,,,,2625,108
RS,Tw-2020-07-17,2020-07-17,2020-07-17,Lusaka,Chirundu,9,,,,,2634,108
RS,Tw-2020-07-17,2020-07-17,2020-07-17,Copperbelt,Kitwe,53,,,,,2687,108
RS,Tw-2020-07-17,2020-07-17,2020-07-17,Lusaka,Lusaka,67,1,1,,UTH,2754,109
RS,Tw-2020-07-17,2020-07-17,2020-07-17,Luapula,Mansa,5,,,,,2759,109
RS,Tw-2020-07-17,2020-07-17,2020-07-17,Copperbelt,Masaiti,1,,,,,2760,109
RS,Tw-2020-07-17,2020-07-17,2020-07-17,Copperbelt,Mufulira,9,,,,,2769,109
RS,Tw-2020-07-17,2020-07-17,2020-07-17,Muchinga,Nakonde,5,,,,,2774,109
RS,Tw-2020-07-17,2020-07-17,2020-07-17,Copperbelt,Ndola,36,,,,,2810,109
