Transcriber,Report_no,Report_date,Date,Province,District,Cases,Total_Deaths,Facility_Deaths,Community_Deaths,Notes,Cumulative Cases,Cumulative Deaths
OJ,1,2020-03-19,2020-03-19,Lusaka,,2,,,,,2,0
OJ,4,2020-03-22,2020-03-22,Lusaka,,1,,,,,3,0
OJ,7,2020-03-25,2020-03-25,Lusaka,,9,,,,,12,0
OJ,8,2020-03-26,2020-03-26,Lusaka,,3,,,,,15,0
OJ,8,2020-03-26,2020-03-26,Copperbelt,,1,,,,,16,0
OJ,9,2020-03-27,2020-03-27,Lusaka,,5,,,,,21,0
OJ,9,2020-03-27,2020-03-27,Copperbelt,,1,,,,,22,0
OJ,10,2020-03-28,2020-03-28,Lusaka,,6,,,,,28,0
OJ,11,2020-03-29,2020-03-29,Lusaka,,1,,,,,29,0
OJ,12,2020-03-30,2020-03-30,Lusaka,,6,,,,,35,0
OJ,13,2020-03-31,2020-03-31,Lusaka,,1,,,,,36,0
OJ,15,2020-04-02,2020-04-02,Lusaka,,3,1,1,,Death not linked to any location explicitly but confirmed on 10th April,39,1
OJ,23,2020-04-10,2020-04-10,Lusaka,,1,1,NA,NA,,40,2
OJ,25,2020-04-12,2020-04-12,Lusaka,,3,,,,,43,2
OJ,26,2020-04-13,2020-04-13,Lusaka,,2,,,,,45,2
OJ,28,2020-04-15,2020-04-15,Lusaka,,3,,,,,48,2
OJ,30,2020-04-17,2020-04-17,Lusaka,,3,,,,,51,2
OJ,30,2020-04-17,2020-04-17,Central,,1,,,,,52,2
OJ,31,2020-04-18,2020-04-18,Lusaka,,5,,,,,57,2
OJ,32,2020-04-19,2020-04-19,Lusaka,,4,1,NA,NA,,61,3
OJ,33,2020-04-20,2020-04-20,Lusaka,,4,,,,,65,3
OJ,34,2020-04-21,2020-04-21,Lusaka,,5,,,,,70,3
OJ,35,2020-04-22,2020-04-22,Lusaka,,4,,,,,74,3
OJ,36,2020-04-23,2020-04-23,Copperbelt,,2,,,,,76,3
OJ,37,2020-04-24,2020-04-24,Lusaka,,8,,,,,84,3
OJ,39,2020-04-26,2020-04-26,Lusaka,,3,,,,,87,3
OJ,39,2020-04-26,2020-04-26,Copperbelt,,0,,,,Death reported incorrectly on 26th. Corrected on 27th April,87,3
OJ,40,2020-04-27,2020-04-27,Lusaka,,2,,,,,89,3
OJ,41,2020-04-28,2020-04-28,Lusaka,,6,,,,,95,3
OJ,42,2020-04-29,2020-04-29,Lusaka,,1,,,,,96,3
OJ,42,2020-04-29,2020-04-29,Copperbelt,,1,,,,,97,3
OJ,43,2020-04-30,2020-04-30,Lusaka,,8,,,,,105,3
OJ,43,2020-04-30,2020-04-30,Copperbelt,,1,,,,,106,3
OJ,44,2020-05-01,2020-05-01,Lusaka,,2,,,,,108,3
OJ,44,2020-05-01,2020-05-01,Copperbelt,,1,,,,,109,3
OJ,45,2020-05-02,2020-05-02,Lusaka,,10,,,,,119,3
OJ,46,2020-05-03,2020-05-03,Lusaka,,4,,,,,123,3
OJ,46,2020-05-03,2020-05-03,Central,,1,,,,,124,3
OJ,47,2020-05-04,2020-05-04,Lusaka,,13,,,,,137,3
OJ,48,2020-05-05,2020-05-05,Lusaka,,2,1,NA,NA,,139,4
OJ,49,2020-05-06,2020-05-06,Lusaka,,7,,,,,146,4
OJ,50,2020-05-07,2020-05-07,Lusaka,,7,,,,,153,4
OJ,51,2020-05-08,2020-05-08,Lusaka,,7,,,,,160,4
OJ,51,2020-05-08,2020-05-08,Copperbelt,,4,,,,,164,4
OJ,51,2020-05-08,2020-05-08,Central,,3,,,,,167,4
OJ,52,2020-05-09,2020-05-09,Lusaka,,9,2,NA,NA,,176,6
OJ,52,2020-05-09,2020-05-09,Muchinga,,76,,,,,252,6
OJ,52,2020-05-09,2020-05-09,Copperbelt,,0,1,NA,NA,,252,7
OJ,53,2020-05-10,2020-05-10,Lusaka,,15,,,,,267,7
OJ,55,2020-05-12,2020-05-12,Muchinga,,126,,,,,393,7
OJ,55,2020-05-12,2020-05-12,Central,,15,,,,,408,7
OJ,55,2020-05-12,2020-05-12,Copperbelt,,27,,,,,435,7
OJ,55,2020-05-12,2020-05-12,North-Western,,5,,,,,440,7
OJ,56,2020-05-13,2020-05-13,Lusaka,,5,,,,,445,7
OJ,57,2020-05-14,2020-05-14,Lusaka,,12,,,,,457,7
OJ,57,2020-05-14,2020-05-14,Muchinga,,196,,,,,653,7
OJ,58,2020-05-15,2020-05-15,Lusaka,,14,,,,,667,7
OJ,59,2020-05-16,2020-05-16,Lusaka,,9,,,,,676,7
OJ,59,2020-05-16,2020-05-16,Central,,3,,,,,679,7
OJ,60,2020-05-17,2020-05-17,Central,,5,,,,,684,7
OJ,60,2020-05-17,2020-05-17,Copperbelt,,3,,,,,687,7
OJ,60,2020-05-17,2020-05-17,Northern,,2,,,,,689,7
OJ,60,2020-05-17,2020-05-17,Muchinga,,6,,,,,695,7
OJ,60,2020-05-17,2020-05-17,Lusaka,,58,,,,,753,7
OJ,61,2020-05-18,2020-05-18,Lusaka,,3,,,,,756,7
OJ,61,2020-05-18,2020-05-18,North-Western,,3,,,,,759,7
OJ,61,2020-05-18,2020-05-18,Copperbelt,,2,,,,,761,7
OJ,62,2020-05-19,2020-05-19,Lusaka,,4,,,,,765,7
OJ,62,2020-05-19,2020-05-19,Muchinga,,6,,,,,771,7
OJ,62,2020-05-19,2020-05-19,North-Western,,1,,,,,772,7
OJ,63,2020-05-20,2020-05-20,Northern,,3,,,,,775,7
OJ,63,2020-05-20,2020-05-20,Muchinga,,48,,,,,823,7
OJ,63,2020-05-20,2020-05-20,Copperbelt,,9,,,,,832,7
OJ,64,2020-05-21,2020-05-21,Copperbelt,,1,,,,,833,7
OJ,64,2020-05-21,2020-05-21,Muchinga,,22,,,,,855,7
OJ,64,2020-05-21,2020-05-21,Lusaka,,11,,,,,866,7
OJ,,2020-05-22,2020-05-22,Unspecified,,54,,,,Where did this info come from?,920,7
OJ,,2020-05-23,2020-05-23,Unspecified,,,,,,Why is this empty?,920,7
RS,Tw-2020-05-27,2020-05-27,2020-05-27,Lusaka,Chilanga,5,,,,,925,7
RS,Tw-2020-05-27,2020-05-27,2020-05-27,Muchinga,Chinsali,1,,,,,926,7
RS,Tw-2020-05-27,2020-05-27,2020-05-27,Eastern,Chipata,2,,,,,928,7
RS,Tw-2020-05-27,2020-05-27,2020-05-27,Lusaka,Chirundu,1,,,,,929,7
RS,Tw-2020-05-27,2020-05-27,2020-05-27,Central,Kabwe,1,,,,,930,7
RS,Tw-2020-05-27,2020-05-27,2020-05-27,Copperbelt,Kitwe,1,,,,,931,7
RS,Tw-2020-05-27,2020-05-27,2020-05-27,Lusaka,Lusaka,55,,,,,986,7
RS,Tw-2020-05-27,2020-05-27,2020-05-27,Luapula,Mansa,2,,,,,988,7
RS,Tw-2020-05-27,2020-05-27,2020-05-27,Muchinga,Nakonde,62,,,,,1050,7
RS,Tw-2020-05-27,2020-05-27,2020-05-27,Copperbelt,Ndola,7,,,,,1057,7
RS,Tw-2020-06-01,2020-06-01,2020-06-01,Eastern,Chanida,2,,,,,1059,7
RS,Tw-2020-06-01,2020-06-01,2020-06-01,Eastern,Chipata,1,,,,,1060,7
RS,Tw-2020-06-01,2020-06-01,2020-06-01,Lusaka,Chirundu,4,,,,,1064,7
