Both Sexes, 
District,Lusaka District
Total,2563356
 , 
 , 
0-4,338827
5-9,314461
10-14,306205
15-19,278354
20-24,295370
25-29,278436
30-34,227091
35-39,181096
40-44,118300
45-49,78803
50-54,48978
55-59,37590
60-64,24324
65-69,12972
70-74,8897
75-79,5716
80+,7937
 , 
Males, 
District,Lusaka
Total,1275282
 , 
 , 
0-4,170164
5-9,155217
10-14,144186
15-19,131187
20-24,143167
25-29,140819
30-34,115795
35-39,96749
40-44,63711
45-49,41245
50-54,24600
55-59,18996
60-64,12935
65-69,6732
70-74,4314
75-79,2350
80+,3115
 , 
 , 
Females, 
District,Lusaka
Total,1288074
 , 
0-4,168663
5-9,159245
10-14,162019
15-19,147167
20-24,152202
25-29,137616
30-34,111297
35-39,84346
40-44,54589
45-49,37558
50-54,24378
55-59,18594
60-64,11389
65-69,6240
70-74,4582
75-79,3365
80+,4823
